symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hit_t1,hold_bars,pnl_pct,R,or_range_pct,vol_mult,body_ratio
RELIANCE,long,2026-03-13 09:45:00,1398.6,1384.2,1424.1,1383.51,SL,False,34,-1.18,-1.15,0.96,3.39,0.84
RELIANCE,short,2026-03-16 10:10:00,1372.01,1389.2,1342.7,1389.89,SL,False,50,-1.4,-1.12,1.12,1.59,0.54
RELIANCE,short,2026-03-17 11:20:00,1393.7,1402.4,1380.5,1403.1,SL,False,26,-0.77,-1.24,0.52,2.37,0.82
RELIANCE,long,2026-03-20 10:10:00,1423.01,1398.0,1445.4,1415.39,EOD,True,60,-0.64,-0.36,1.12,1.68,0.64
RELIANCE,long,2026-03-25 10:40:00,1426.51,1414.1,1434.2,1413.39,SL,True,51,-1.02,-1.17,0.47,1.54,0.52
RELIANCE,short,2026-04-06 10:25:00,1313.84,1355.0,1238.9,1307.05,EOD,False,57,0.42,0.13,2.94,1.79,0.65
RELIANCE,short,2026-04-09 10:40:00,1331.63,1350.0,1314.9,1331.37,EOD,False,54,-0.08,-0.06,0.87,1.73,0.87
RELIANCE,long,2026-04-10 09:45:00,1349.07,1333.1,1367.3,1349.23,EOD,False,65,-0.09,-0.08,0.85,2.87,0.8
RELIANCE,long,2026-04-15 10:45:00,1341.67,1334.9,1349.6,1343.83,EOD,True,53,0.06,0.12,0.37,1.54,0.83
RELIANCE,short,2026-04-16 11:20:00,1335.73,1352.0,1310.3,1344.17,EOD,False,46,-0.73,-0.6,1.04,3.51,0.57
RELIANCE,long,2026-04-17 11:05:00,1357.58,1341.4,1371.7,1364.82,EOD,True,49,0.43,0.36,0.75,2.51,0.98
RELIANCE,short,2026-04-21 11:35:00,1358.22,1367.7,1341.6,1353.48,EOD,False,43,0.25,0.36,0.64,1.96,0.54
RELIANCE,long,2026-04-22 10:45:00,1362.28,1351.3,1371.1,1362.82,EOD,True,53,-0.06,-0.08,0.49,2.32,0.75
RELIANCE,short,2026-04-23 10:35:00,1346.93,1355.3,1332.5,1342.57,EOD,False,55,0.22,0.36,0.56,1.67,0.78
RELIANCE,short,2026-04-30 11:40:00,1402.8,1415.7,1386.6,1416.41,SL,False,9,-1.07,-1.16,0.69,6.14,0.68
RELIANCE,short,2026-05-06 10:00:00,1456.67,1473.1,1443.1,1443.82,T2,True,27,0.78,0.69,0.68,2.24,0.8
RELIANCE,long,2026-05-08 11:00:00,1430.82,1418.0,1448.0,1433.88,EOD,True,50,0.11,0.13,0.7,1.77,0.74
RELIANCE,short,2026-05-11 11:45:00,1411.39,1426.0,1393.9,1394.6,T2,True,39,1.09,1.05,0.76,1.66,0.78
RELIANCE,short,2026-05-14 10:40:00,1362.02,1369.5,1350.3,1370.18,SL,False,12,-0.7,-1.27,0.47,2.28,0.59
RELIANCE,long,2026-05-20 10:30:00,1333.17,1312.7,1354.4,1353.72,T2,True,26,1.44,0.94,1.05,2.24,0.93
TCS,long,2026-03-09 10:50:00,2536.27,2506.0,2587.0,2527.24,EOD,True,52,-0.46,-0.38,1.08,2.95,0.7
TCS,short,2026-03-11 10:35:00,2479.66,2520.0,2421.6,2463.93,EOD,False,55,0.53,0.33,1.32,1.61,0.81
TCS,long,2026-03-12 11:40:00,2472.24,2442.4,2489.2,2441.18,SL,False,38,-1.36,-1.12,0.64,1.92,0.83
TCS,short,2026-03-13 09:50:00,2416.79,2438.0,2381.6,2439.22,SL,False,9,-1.03,-1.17,0.77,1.87,0.87
TCS,short,2026-03-16 10:00:00,2388.21,2418.7,2357.5,2419.91,SL,True,58,-1.43,-1.12,0.85,1.56,0.68
TCS,short,2026-03-19 10:05:00,2396.4,2423.1,2356.8,2357.98,T2,True,58,1.5,1.35,0.92,1.71,0.64
TCS,long,2026-03-24 11:25:00,2421.61,2386.2,2462.1,2395.9,EOD,False,45,-1.16,-0.79,1.06,2.37,0.72
TCS,long,2026-03-25 10:40:00,2422.31,2390.7,2441.7,2389.5,SL,False,44,-1.45,-1.11,0.71,1.52,0.74
TCS,long,2026-04-09 11:30:00,2587.99,2531.1,2671.5,2587.31,EOD,False,44,-0.13,-0.06,1.83,2.29,0.78
TCS,long,2026-04-21 09:45:00,2581.39,2561.0,2611.7,2610.39,T2,True,63,1.02,1.3,0.66,2.2,0.81
TCS,short,2026-04-24 09:45:00,2464.77,2504.4,2397.9,2399.1,T2,True,39,2.56,1.59,1.44,1.67,0.63
TCS,long,2026-04-27 11:40:00,2439.62,2398.0,2493.7,2446.58,EOD,False,42,0.19,0.11,1.31,1.62,0.77
TCS,long,2026-04-28 09:55:00,2477.44,2438.5,2525.5,2437.28,SL,False,36,-1.72,-1.09,1.18,3.07,0.92
TCS,long,2026-04-29 10:55:00,2481.14,2447.7,2496.6,2472.26,EOD,True,51,-0.46,-0.34,0.66,1.51,1.0
TCS,short,2026-05-08 10:35:00,2383.21,2406.9,2352.3,2395.9,EOD,False,55,-0.63,-0.64,0.76,1.59,0.8
TCS,long,2026-05-11 10:30:00,2401.7,2375.0,2432.0,2390.9,EOD,True,56,-0.55,-0.49,0.8,1.69,0.96
TCS,short,2026-05-12 09:55:00,2299.95,2368.3,2176.9,2300.15,EOD,False,63,-0.11,-0.04,2.76,1.52,0.81
